name,activity,adress,zipcode,city,country,latitude,longitude
Lilignod,city,,1260,Lilignod,FR,45.95,5.683333
Lochieu,city,,1260,Lochieu,FR,45.933333,5.716667
Lompnas,city,,1680,Lompnas,FR,45.8,5.516667
Lompnieu,city,,1260,Lompnieu,FR,45.966667,5.65
Loyes,city,,1800,Loyes,FR,45.933333,5.233333
Loyettes,city,,1360,Loyettes,FR,45.766667,5.2
Lurcy,city,,1090,Lurcy,FR,46.066667,4.766667
Luthézieu,city,,1260,Luthézieu,FR,45.9,5.666667
Magnieu,city,,1300,Magnieu,FR,45.783333,5.716667
Maillat,city,,1430,Maillat,FR,46.133333,5.55
Malafretaz,city,,1340,Malafretaz,FR,46.316667,5.15
Mantenay-Montlin,city,,1560,Mantenay-Montlin,FR,46.416667,5.083333
Manziat,city,,1570,Manziat,FR,46.35,4.9
Marboz,city,,1851,Marboz,FR,46.333333,5.25
Marchamp,city,,1680,Marchamp,FR,45.783333,5.55
Marignieu,city,,1300,Marignieu,FR,45.8,5.716667
Marlieux,city,,1240,Marlieux,FR,46.066667,5.066667
Marsonnas,city,,1340,Marsonnas,FR,46.333333,5.066667
Martignat,city,,1810,Martignat,FR,46.216667,5.6
Massieux,city,,1600,Massieux,FR,45.916667,4.833333
Massignieu-de-Rives,city,,1300,Massignieu-de-Rives,FR,45.75,5.766667
Matafelon-Granges,city,,1580,Matafelon-Granges,FR,46.266667,5.566667
Meillonnas,city,,1370,Meillonnas,FR,46.25,5.35
Mérignat,city,,1450,Mérignat,FR,46.066667,5.433333
Meximieux,city,,1800,Meximieux,FR,45.9,5.2
Bohas-Meyriat-Rignat,city,,1250,Bohas-Meyriat-Rignat,FR,46.133333,5.4
Mézériat,city,,1660,Mézériat,FR,46.233333,5.033333
Mijoux,city,,1170,Mijoux,FR,46.366667,6
Mionnay,city,,1390,Mionnay,FR,45.9,4.933333
Misérieux,city,,1600,Misérieux,FR,45.983333,4.816667
Moëns,city,,1280,Moëns,FR,46.266667,6.1
Mogneneins,city,,1140,Mogneneins,FR,46.133333,4.816667
Mollon,city,,1800,Mollon,FR,45.95,5.25
Montagnat,city,,1250,Montagnat,FR,46.166667,5.283333
Montagnieu,city,,1470,Montagnieu,FR,45.8,5.466667
Montanges,city,,1200,Montanges,FR,46.166667,5.8
Montceaux,city,,1090,Montceaux,FR,46.1,4.8
Montcet,city,,1310,Montcet,FR,46.2,5.116667
LeMontellier,city,,1800,LeMontellier,FR,45.933333,5.066667
Monthieux,city,,1390,Monthieux,FR,45.95,4.933333
Montluel,city,,1120,Montluel,FR,45.85,5.05
Montmerle-sur-Saône,city,,1090,Montmerle-sur-Saône,FR,46.083333,4.766667
Montracol,city,,1310,Montracol,FR,46.183333,5.116667
Montrevel-en-Bresse,city,,1340,Montrevel-en-Bresse,FR,46.333333,5.133333
Murs-et-Gélignieux,city,,1300,Murs-et-Gélignieux,FR,45.633333,5.666667
Nantua,city,,1460,Nantua,FR,46.15,5.616667
Napt,city,,1580,Napt,FR,46.2,5.5
Nattages,city,,1300,Nattages,FR,45.733333,5.766667
Neuville-les-Dames,city,,1400,Neuville-les-Dames,FR,46.166667,5
Neuville-sur-Ain,city,,1160,Neuville-sur-Ain,FR,46.083333,5.366667
LesNeyrolles,city,,1130,LesNeyrolles,FR,46.133333,5.633333
Nièvroz,city,,1120,Nièvroz,FR,45.833333,5.066667
Nivollet-Montgriffon,city,,1230,Nivollet-Montgriffon,FR,45.983333,5.433333
Ochiaz,city,,1200,Ochiaz,FR,46.116667,5.783333
Oncieu,city,,1230,Oncieu,FR,45.95,5.466667
Ordonnaz,city,,1510,Ordonnaz,FR,45.833333,5.533333
Ornex,city,,1210,Ornex,FR,46.283333,6.1
Outriaz,city,,1430,Outriaz,FR,46.066667,5.55
Oyonnax,city,,1100,Oyonnax,FR,46.25,5.666667
Ozan,city,,1190,Ozan,FR,46.383333,4.916667
Parcieux,city,,1600,Parcieux,FR,45.916667,4.816667
Parves,city,,1300,Parves,FR,45.75,5.75
Passin,city,,1260,Passin,FR,45.933333,5.7
Péron,city,,1630,Péron,FR,46.2,5.933333
Péronnas,city,,1960,Péronnas,FR,46.183333,5.2
Pérouges,city,,1800,Pérouges,FR,45.9,5.183333
Perrex,city,,1540,Perrex,FR,46.233333,4.983333
LePetit-Abergement,city,,1260,LePetit-Abergement,FR,46.033333,5.65
Peyriat,city,,1430,Peyriat,FR,46.15,5.516667
Peyzieux-sur-Saône,city,,1140,Peyzieux-sur-Saône,FR,46.116667,4.816667
Pirajoux,city,,1270,Pirajoux,FR,46.383333,5.3
Pizay,city,,1120,Pizay,FR,45.883333,5.083333
Plagne,city,,1130,Plagne,FR,46.183333,5.733333
LePlantay,city,,1330,LePlantay,FR,46.016667,5.083333
LePoizat,city,,1130,LePoizat,FR,46.15,5.7
Polliat,city,,1310,Polliat,FR,46.25,5.133333
Pollieu,city,,1350,Pollieu,FR,45.8,5.75
Poncin,city,,1450,Poncin,FR,46.083333,5.4
Pont-d'Ain,city,,1160,Pont-d'Ain,FR,46.05,5.333333
Pont-de-Vaux,city,,1190,Pont-de-Vaux,FR,46.433333,4.933333
Pont-de-Veyle,city,,1290,Pont-de-Veyle,FR,46.266667,4.883333
Port,city,,1460,Port,FR,46.166667,5.566667
Pougny,city,,1550,Pougny,FR,46.133333,5.95
Pouillat,city,,1250,Pouillat,FR,46.333333,5.433333
Prémeyzel,city,,1300,Prémeyzel,FR,45.683333,5.65
Prémillieu,city,,1110,Prémillieu,FR,45.866667,5.566667
Pressiat,city,,1370,Pressiat,FR,46.333333,5.383333
Prévessin-Moens,city,,1280,Prévessin-Moens,FR,46.25,6.083333
Priay,city,,1160,Priay,FR,46,5.283333
Pugieu,city,,1510,Pugieu,FR,45.816667,5.65
Ramasse,city,,1250,Ramasse,FR,46.2,5.35
Rancé,city,,1390,Rancé,FR,45.966667,4.866667
Relevant,city,,1990,Relevant,FR,46.083333,4.95
Replonges,city,,1620,Replonges,FR,46.3,4.883333
Revonnas,city,,1250,Revonnas,FR,46.166667,5.333333
Reyrieux,city,,1600,Reyrieux,FR,45.933333,4.816667
Reyssouze,city,,1190,Reyssouze,FR,46.433333,4.916667
Rignat,city,,1250,Rignat,FR,46.15,5.366667
Rignieux-le-Franc,city,,1800,Rignieux-le-Franc,FR,45.933333,5.183333
Romanèche,city,,1250,Romanèche,FR,46.183333,5.433333
Romans,city,,1400,Romans,FR,46.116667,5.033333
Rossillon,city,,1510,Rossillon,FR,45.833333,5.6
Ruffieu,city,,1260,Ruffieu,FR,46,5.666667
Saint-Alban,city,,1450,Saint-Alban,FR,46.1,5.45
Saint-André-de-Bâgé,city,,1380,Saint-André-de-Bâgé,FR,46.3,4.916667
Saint-André-de-Corcy,city,,1390,Saint-André-de-Corcy,FR,45.916667,4.95
Saint-André-d'Huiriat,city,,1290,Saint-André-d'Huiriat,FR,46.216667,4.916667
Saint-André-le-Bouchoux,city,,1240,Saint-André-le-Bouchoux,FR,46.116667,5.083333
Saint-André-sur-Vieux-Jonc,city,,1240,Saint-André-sur-Vieux-Jonc,FR,46.15,5.066667
Saint-Bénigne,city,,1190,Saint-Bénigne,FR,46.433333,4.966667
Saint-Benoît,city,,1300,Saint-Benoît,FR,45.7,5.583333
Saint-Bois,city,,1300,Saint-Bois,FR,45.7,5.633333
Saint-Champ-Chatonod,city,,1300,Saint-Champ-Chatonod,FR,45.783333,5.733333
Saint-Cyr-sur-Menthon,city,,1380,Saint-Cyr-sur-Menthon,FR,46.266667,4.983333
Saint-Denis-lès-Bourg,city,,1000,Saint-Denis-lès-Bourg,FR,46.2,5.2
Saint-Denis-en-Bugey,city,,1500,Saint-Denis-en-Bugey,FR,45.95,5.333333
Saint-Didier-d'Aussiat,city,,1340,Saint-Didier-d'Aussiat,FR,46.3,5.066667
Saint-Didier-de-Formans,city,,1600,Saint-Didier-de-Formans,FR,45.95,4.783333
Saint-Didier-sur-Chalaronne,city,,1140,Saint-Didier-sur-Chalaronne,FR,46.166667,4.816667
Saint-Éloi,city,,1800,Saint-Éloi,FR,45.933333,5.15
Saint-Étienne-du-Bois,city,,1370,Saint-Étienne-du-Bois,FR,46.283333,5.283333
Saint-Étienne-sur-Chalaronne,city,,1140,Saint-Étienne-sur-Chalaronne,FR,46.15,4.866667
Saint-Étienne-sur-Reyssouze,city,,1190,Saint-Étienne-sur-Reyssouze,FR,46.4,5
Sainte-Euphémie,city,,1600,Sainte-Euphémie,FR,45.966667,4.783333
Saint-Genis-Pouilly,city,,1630,Saint-Genis-Pouilly,FR,46.25,6.016667
Saint-Genis-sur-Menthon,city,,1380,Saint-Genis-sur-Menthon,FR,46.283333,5.016667
Saint-Georges-sur-Renon,city,,1400,Saint-Georges-sur-Renon,FR,46.1,5.033333
Saint-Germain-de-Joux,city,,1130,Saint-Germain-de-Joux,FR,46.183333,5.733333
Saint-Germain-les-Paroisses,city,,1300,Saint-Germain-les-Paroisses,FR,45.766667,5.616667
Saint-Germain-sur-Renon,city,,1240,Saint-Germain-sur-Renon,FR,46.083333,5.05
Saint-Jean-de-Gonville,city,,1630,Saint-Jean-de-Gonville,FR,46.216667,5.95
Saint-Jean-deNiost,city,,1800,Saint-Jean-deNiost,FR,45.833333,5.216667
Saint-Jean-de-Thurigneux,city,,1390,Saint-Jean-de-Thurigneux,FR,45.95,4.883333
Saint-Jean-sur-Reyssouze,city,,1560,Saint-Jean-sur-Reyssouze,FR,46.4,5.066667
Saint-Jean-sur-Veyle,city,,1290,Saint-Jean-sur-Veyle,FR,46.25,4.916667
Sainte-Julie,city,,1150,Sainte-Julie,FR,45.883333,5.283333
Saint-Julien-sur-Reyssouze,city,,1560,Saint-Julien-sur-Reyssouze,FR,46.4,5.116667
Saint-Julien-sur-Veyle,city,,1540,Saint-Julien-sur-Veyle,FR,46.2,4.95
Saint-Laurent-sur-Saône,city,,1620,Saint-Laurent-sur-Saône,FR,46.3,4.833333
Saint-Martin-de-Bavel,city,,1510,Saint-Martin-de-Bavel,FR,45.85,5.683333
Saint-Martin-du-Frêne,city,,1430,Saint-Martin-du-Frêne,FR,46.133333,5.55
Saint-Martin-du-Mont,city,,1160,Saint-Martin-du-Mont,FR,46.1,5.333333
Saint-Martin-le-Châtel,city,,1310,Saint-Martin-le-Châtel,FR,46.283333,5.116667
Saint-Maurice-de-Beynost,city,,1700,Saint-Maurice-de-Beynost,FR,45.833333,4.966667
Saint-Maurice-de-Gourdans,city,,1800,Saint-Maurice-de-Gourdans,FR,45.816667,5.2
Saint-Maurice-de-Rémens,city,,1500,Saint-Maurice-de-Rémens,FR,45.95,5.283333
Saint-Nizier-le-Bouchoux,city,,1560,Saint-Nizier-le-Bouchoux,FR,46.45,5.15
Saint-Nizier-le-Désert,city,,1320,Saint-Nizier-le-Désert,FR,46.05,5.15
Sainte-Olive,city,,1330,Sainte-Olive,FR,46.016667,4.933333
Saint-Paul-de-Varax,city,,1240,Saint-Paul-de-Varax,FR,46.1,5.133333
Saint-Rambert-en-Bugey,city,,1230,Saint-Rambert-en-Bugey,FR,45.95,5.433333
Saint-Rémy,city,,1310,Saint-Rémy,FR,46.183333,5.166667
Saint-Sorlin-en-Bugey,city,,1150,Saint-Sorlin-en-Bugey,FR,45.883333,5.366667
Saint-Trivier-de-Courtes,city,,1560,Saint-Trivier-de-Courtes,FR,46.466667,5.083333
Saint-Trivier-sur-Moignans,city,,1990,Saint-Trivier-sur-Moignans,FR,46.066667,4.9
Saint-Vulbas,city,,1150,Saint-Vulbas,FR,45.833333,5.283333
Salavre,city,,1270,Salavre,FR,46.366667,5.35
Samognat,city,,1580,Samognat,FR,46.25,5.583333
Sandrans,city,,1400,Sandrans,FR,46.066667,4.983333
Sault-Brénaz,city,,1150,Sault-Brénaz,FR,45.85,5.416667
Sauverny,city,,1220,Sauverny,FR,46.316667,6.116667
Savigneux,city,,1480,Savigneux,FR,46,4.85
Ségny,city,,1170,Ségny,FR,46.3,6.083333
Seillonnaz,city,,1470,Seillonnaz,FR,45.8,5.483333
Sergy,city,,1630,Sergy,FR,46.25,6
Sermoyer,city,,1190,Sermoyer,FR,46.5,4.983333
Serrières-sur-Ain,city,,1450,Serrières-sur-Ain,FR,46.15,5.45
Servas,city,,1240,Servas,FR,46.133333,5.166667
Servignat,city,,1560,Servignat,FR,46.433333,5.066667
Simandre-sur-Suran,city,,1250,Simandre-sur-Suran,FR,46.216667,5.416667
Songieu,city,,1260,Songieu,FR,45.966667,5.7
Sonthonnax-la-Montagne,city,,1580,Sonthonnax-la-Montagne,FR,46.233333,5.533333
Souclin,city,,1150,Souclin,FR,45.866667,5.416667
Sulignat,city,,1400,Sulignat,FR,46.166667,4.966667
Surjoux,city,,1420,Surjoux,FR,46.016667,5.8
Sutrieu,city,,1260,Sutrieu,FR,45.95,5.65
Talissieu,city,,1510,Talissieu,FR,45.866667,5.716667
Tenay,city,,1230,Tenay,FR,45.916667,5.5
Thézillieu,city,,1110,Thézillieu,FR,45.883333,5.6
Thil,city,,1120,Thil,FR,45.816667,5.016667
Thoissey,city,,1140,Thoissey,FR,46.166667,4.8
Torcieu,city,,1230,Torcieu,FR,45.916667,5.4
Tossiat,city,,1250,Tossiat,FR,46.133333,5.316667
Toussieux,city,,1600,Toussieux,FR,45.966667,4.833333
Tramoyes,city,,1390,Tramoyes,FR,45.866667,4.966667
LaTranclière,city,,1160,LaTranclière,FR,46.116667,5.266667
Trévoux,city,,1600,Trévoux,FR,45.933333,4.766667
Valeins,city,,1140,Valeins,FR,46.116667,4.866667
Vandeins,city,,1660,Vandeins,FR,46.216667,5.083333
Varambon,city,,1160,Varambon,FR,46.033333,5.316667
Vaux-en-Bugey,city,,1150,Vaux-en-Bugey,FR,45.916667,5.35
Verjon,city,,1270,Verjon,FR,46.35,5.35
Vernoux,city,,1560,Vernoux,FR,46.483333,5.116667
Versailleux,city,,1330,Versailleux,FR,45.983333,5.1
Vesancy,city,,1170,Vesancy,FR,46.35,6.083333
Vescours,city,,1560,Vescours,FR,46.466667,5.033333
Vésines,city,,1570,Vésines,FR,46.35,4.866667
Veyziat,city,,1100,Veyziat,FR,46.283333,5.633333
Vieu-d'Izenave,city,,1430,Vieu-d'Izenave,FR,46.083333,5.533333
Vieu,city,,1260,Vieu,FR,45.9,5.683333
Villars-les-Dombes,city,,1330,Villars-les-Dombes,FR,46,5.016667
Villebois,city,,1150,Villebois,FR,45.85,5.433333
Villemotier,city,,1270,Villemotier,FR,46.35,5.316667
Villereversure,city,,1250,Villereversure,FR,46.183333,5.383333
Villes,city,,1200,Villes,FR,46.083333,5.783333
Viriat,city,,1440,Viriat,FR,46.25,5.216667
